Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
50,12,0,143,3,Some Random Commen with Id 50
51,12,0,3,8,Some Random Commen with Id 51
52,13,6,59,7,Some Random Commen with Id 52
53,13,6,13,5,Some Random Commen with Id 53
54,13,6,8,1,Some Random Commen with Id 54
55,13,6,41,9,Some Random Commen with Id 55
56,13,6,39,0,Some Random Commen with Id 56
57,13,6,82,5,Some Random Commen with Id 57
58,13,6,46,3,Some Random Commen with Id 58
59,13,6,197,1,Some Random Commen with Id 59
60,15,8,5,0,Some Random Commen with Id 60
61,15,8,166,8,Some Random Commen with Id 61
62,15,8,181,2,Some Random Commen with Id 62
63,15,8,181,8,Some Random Commen with Id 63
64,15,8,8,7,Some Random Commen with Id 64
65,15,8,13,8,Some Random Commen with Id 65
66,15,8,156,0,Some Random Commen with Id 66
67,16,9,12,9,Some Random Commen with Id 67
68,17,5,26,8,Some Random Commen with Id 68
69,17,5,92,8,Some Random Commen with Id 69
70,17,5,48,9,Some Random Commen with Id 70
71,17,5,168,4,Some Random Commen with Id 71
72,18,0,59,3,Some Random Commen with Id 72
73,18,0,45,4,Some Random Commen with Id 73
74,18,0,37,2,Some Random Commen with Id 74
75,19,2,18,5,Some Random Commen with Id 75
76,19,2,174,4,Some Random Commen with Id 76
77,19,2,113,2,Some Random Commen with Id 77
78,19,2,152,0,Some Random Commen with Id 78
79,19,2,44,1,Some Random Commen with Id 79
80,19,2,14,1,Some Random Commen with Id 80
81,19,2,196,6,Some Random Commen with Id 81
82,19,2,142,7,Some Random Commen with Id 82
83,20,4,14,0,Some Random Commen with Id 83
84,20,4,50,7,Some Random Commen with Id 84
85,20,4,73,8,Some Random Commen with Id 85
86,21,4,5,6,Some Random Commen with Id 86
87,21,4,136,8,Some Random Commen with Id 87
88,22,0,57,2,Some Random Commen with Id 88
89,22,0,56,6,Some Random Commen with Id 89
90,22,0,109,3,Some Random Commen with Id 90
91,23,4,125,9,Some Random Commen with Id 91
92,23,4,186,2,Some Random Commen with Id 92
93,23,4,124,3,Some Random Commen with Id 93
94,23,4,61,3,Some Random Commen with Id 94
95,23,4,191,7,Some Random Commen with Id 95
96,23,4,162,3,Some Random Commen with Id 96
97,23,4,158,5,Some Random Commen with Id 97
98,24,6,2,4,Some Random Commen with Id 98
99,24,6,33,5,Some Random Commen with Id 99
100,24,6,170,4,Some Random Commen with Id 100
101,24,6,73,5,Some Random Commen with Id 101
102,24,6,198,5,Some Random Commen with Id 102
103,26,9,26,5,Some Random Commen with Id 103
104,26,9,41,9,Some Random Commen with Id 104
105,26,9,11,4,Some Random Commen with Id 105
106,26,9,22,1,Some Random Commen with Id 106
107,26,9,36,6,Some Random Commen with Id 107
108,26,9,136,1,Some Random Commen with Id 108
109,26,9,65,9,Some Random Commen with Id 109
110,27,8,43,2,Some Random Commen with Id 110
111,27,8,147,4,Some Random Commen with Id 111
112,27,8,133,6,Some Random Commen with Id 112
113,27,8,49,1,Some Random Commen with Id 113
114,27,8,189,6,Some Random Commen with Id 114
115,28,8,50,4,Some Random Commen with Id 115
116,28,8,137,3,Some Random Commen with Id 116
117,28,8,176,8,Some Random Commen with Id 117
118,28,8,196,1,Some Random Commen with Id 118
119,28,8,174,2,Some Random Commen with Id 119
120,29,2,136,6,Some Random Commen with Id 120
121,29,2,20,9,Some Random Commen with Id 121
122,29,2,102,3,Some Random Commen with Id 122
123,29,2,104,5,Some Random Commen with Id 123
124,29,2,40,5,Some Random Commen with Id 124
125,29,2,94,5,Some Random Commen with Id 125
126,29,2,84,6,Some Random Commen with Id 126
127,30,5,102,4,Some Random Commen with Id 127
128,30,5,156,8,Some Random Commen with Id 128
129,30,5,2,7,Some Random Commen with Id 129
130,30,5,41,5,Some Random Commen with Id 130
131,30,5,113,0,Some Random Commen with Id 131
132,30,5,147,8,Some Random Commen with Id 132
133,30,5,22,2,Some Random Commen with Id 133
134,30,5,23,1,Some Random Commen with Id 134
135,30,5,188,9,Some Random Commen with Id 135
136,31,3,86,8,Some Random Commen with Id 136
137,31,3,22,1,Some Random Commen with Id 137
138,31,3,186,0,Some Random Commen with Id 138
139,31,3,14,1,Some Random Commen with Id 139
140,31,3,27,0,Some Random Commen with Id 140
141,31,3,9,0,Some Random Commen with Id 141
142,31,3,49,0,Some Random Commen with Id 142
143,32,9,167,6,Some Random Commen with Id 143
144,32,9,97,7,Some Random Commen with Id 144
145,32,9,121,9,Some Random Commen with Id 145
146,32,9,114,8,Some Random Commen with Id 146
147,33,6,111,2,Some Random Commen with Id 147
148,33,6,196,4,Some Random Commen with Id 148
149,33,6,50,2,Some Random Commen with Id 149
150,33,6,101,0,Some Random Commen with Id 150
151,33,6,78,6,Some Random Commen with Id 151
152,33,6,109,1,Some Random Commen with Id 152
153,33,6,8,6,Some Random Commen with Id 153
154,33,6,157,3,Some Random Commen with Id 154
155,33,6,91,5,Some Random Commen with Id 155
156,34,9,92,9,Some Random Commen with Id 156
157,34,9,29,4,Some Random Commen with Id 157
158,34,9,118,8,Some Random Commen with Id 158
159,34,9,85,5,Some Random Commen with Id 159
160,34,9,51,4,Some Random Commen with Id 160
161,34,9,32,5,Some Random Commen with Id 161
162,34,9,57,6,Some Random Commen with Id 162
163,34,9,4,9,Some Random Commen with Id 163
164,35,2,78,3,Some Random Commen with Id 164
165,35,2,149,8,Some Random Commen with Id 165
166,35,2,150,6,Some Random Commen with Id 166
167,35,2,111,3,Some Random Commen with Id 167
168,35,2,112,8,Some Random Commen with Id 168
169,35,2,193,7,Some Random Commen with Id 169
170,35,2,71,9,Some Random Commen with Id 170
171,35,2,45,2,Some Random Commen with Id 171
172,35,2,175,5,Some Random Commen with Id 172
173,37,9,196,5,Some Random Commen with Id 173
174,37,9,18,9,Some Random Commen with Id 174
175,37,9,168,7,Some Random Commen with Id 175
176,37,9,17,5,Some Random Commen with Id 176
177,37,9,194,7,Some Random Commen with Id 177
178,37,9,198,4,Some Random Commen with Id 178
179,38,9,7,5,Some Random Commen with Id 179
180,39,9,77,4,Some Random Commen with Id 180
181,39,9,87,0,Some Random Commen with Id 181
182,39,9,81,7,Some Random Commen with Id 182
183,39,9,61,9,Some Random Commen with Id 183
184,39,9,130,5,Some Random Commen with Id 184
185,39,9,128,6,Some Random Commen with Id 185
186,39,9,45,8,Some Random Commen with Id 186
